DES_ID_x,Euclid_ID_x,IDSURVEY,zHD,zHDERR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_LOGSFR,HOST_LOGSFR_ERR,HOST_LOGsSFR,HOST_LOGsSFR_ERR,HOST_COLOR,HOST_COLOR_ERR,logmass,logmass_err,MATCH,disk_sersic_sersic_index,disk_sersic_sersic_index_err,phz_pp_median_sfhage,phz_pp_mode_sfhage,phz_pp_68_sfhage,phz_pp_median_sfhtimescale,phz_pp_mode_sfhtimescale,phz_pp_68_sfhtimescale,phz_pp_median_sfr,phz_pp_mode_sfr,phz_pp_68_sfr,phz_pp_median_stellarmass,phz_pp_mode_stellarmass,phz_pp_68_stellarmass,phz_pp_median_stellarmetallicity,phz_pp_mode_stellarmetallicity,phz_pp_68_stellarmetallicity,galaxyclass,sfhtype,imf
1302399,-5.28582E+17,10,0.76495,0.00203,10.808,0.022,0.924,0.128,-9.886,0.14494,1.319,-999,10.808,0.022,FALSE,,,1.838701129,1.192973614,"[1.1929736137390137,2.503554344177246]",0.08390855,0.026520325,"[0.017615029588341713,0.20371676981449127]",-4.771865845,-13.20454121,"[-26.65053367614746,1.9775941371917725]",10.92272377,10.85044193,"[10.831949234008789,10.983428955078125]",1.039187789,1.662034869,"[0.4432995021343231,1.4181435108184814]",-99,-99,-99
1335717,-5.28603E+17,10,0.30477,0.00164,9.607,0.012,0.904,0.191,-8.683,0.19961,0.532,-999,9.607,0.012,FALSE,,,0.151713237,0.214826792,"[0.055906616151332855,1.055680751800537]",1.01671958,18.38562584,"[0.060799866914749146,7.629843711853027]",2.915416718,3.061132193,"[0.6969895362854004,3.102598190307617]",10.82418823,11.09542274,"[9.779520988464355,11.086352348327637]",0.721778572,1.087343931,"[0.15468299388885498,1.2614103555679321]",-99,-99,-99
1253180,-5.28672E+17,10,0.46154,0.00177,10.861,0.005,1.16,0.153,-9.705,0.15536,1.193,-999,10.861,0.005,TRUE,,,0.05570665,0.05570665,"[0.05570665001869202,0.05570665001869202]",0.163557321,0.163557321,"[0.16355732083320618,0.16355732083320618]",3.595611095,3.595611095,"[3.595611095428467,3.595611095428467]",11.52245522,11.52245522,"[11.522455215454102,11.522455215454102]",1.345015287,1.345015287,"[1.345015287399292,1.345015287399292]",-99,-99,-99
1909375,-5.28757E+17,10,0.33753,0.00167,10.583,0.014,0.577,0.05,-9.983,0.0610328,1.39,-999,10.583,0.014,TRUE,,,0.038912021,0.038912021,"[0.03891202062368393,0.06026289239525795]",6.766299248,6.766299248,"[6.766299247741699,26.90874481201172]",3.327912569,3.327912569,"[3.3279125690460205,3.443166494369507]",11.27048302,11.27048302,"[11.270483016967773,11.3674955368042]",1.00184989,1.00184989,"[1.001849889755249,1.5464900732040405]",-99,-99,-99
1380167,-5.28794E+17,10,0.75331,0.00202,9.861,0.108,1.599,0.37,-8.198,0.37898,0.285,-999,9.861,0.108,FALSE,,,1.969014525,0.109346457,"[0.26184046268463135,5.49337911605835]",2.572706223,0.040558502,"[0.21739493310451508,7.284581661224365]",1.000159621,1.641003251,"[0.5644160509109497,1.4197540283203125]",9.896113396,9.541439056,"[9.627237319946289,10.076354026794434]",0.871225893,1.824334741,"[0.6897490620613098,1.740282654762268]",-99,-99,-99
1322975,-5.28805E+17,10,0.84634,0.0021,11.161,0.025,0.547,6.642,-10.585,6.64248,1.732,-999,11.161,0.025,FALSE,,,4.533545017,4.533545017,"[3.9478251934051514,4.533545017242432]",0.887050033,0.887050033,"[0.8870500326156616,0.8870500326156616]",0.980224967,0.980224967,"[0.9802249670028687,1.057982325553894]",11.11581802,11.11581802,"[11.11581802368164,11.11581802368164]",0.241183281,0.241183281,"[0.24118328094482422,0.24118328094482422]",-99,-99,-99
1261233,-5.28834E+17,10,0.53166,0.00183,9.281,0.007,1.103,0,-8.198,0.05,-0.004,-999,9.281,0.007,FALSE,,,1.592157841,1.753347516,"[0.1241551861166954,2.635125160217285]",0.973640263,0.973640263,"[0.026843613013625145,17.672056198120117]",0.500487983,0.343149096,"[0.33577126264572144,1.1436777114868164]",9.352221489,9.376122475,"[9.189010620117188,9.37612247467041]",1.254223704,1.405777454,"[0.8822169303894043,1.4057774543762207]",-99,-99,-99
1435094,-5.28848E+17,10,1.017,0.00225,11.339,0.03,1.223,0.583,-10.089,0.583,1.465,-999,11.339,0.03,FALSE,,,0.471698225,0.711519122,"[0.1830638349056244,1.0725675821304321]",0.369365394,7.152207375,"[0.04955779388546944,7.152207374572754]",2.745105267,2.745105267,"[2.6118950843811035,2.9772019386291504]",11.14958,11.1842804,"[11.114175796508789,11.244138717651367]",0.531084836,0.504520833,"[0.4273897111415863,1.230945110321045]",-99,-99,-99
1876204,-5.29005E+17,10,0.51008,0.00181,9.77,0.078,0.249,0.03,-9.652,0.0626498,0.527,-999,9.77,0.078,FALSE,,,1.666090488,2.353234768,"[0.5990053415298462,3.0700671672821045]",1.760846615,16.63095856,"[0.3494233787059784,21.96596908569336]",0.669777095,0.887631893,"[0.14889419078826904,0.9345019459724426]",9.574008942,9.786323547,"[9.421717643737793,9.664135932922363]",1.291405082,0.740053177,"[0.6400012969970703,1.8038361072540283]",-99,-99,-99
1339232,-5.29084E+17,10,0.96859,0.00221,11.793,0.019,1.44,0.371,-10.365,0.3864,1.5,-999,11.793,0.019,FALSE,,,3.218010902,3.218010902,"[2.12213397026062,3.218010902404785]",0.026825299,0.026825299,"[0.023444928228855133,0.037925444543361664]",-44.52946472,-44.52946472,"[-44.537376403808594,-22.485069274902344]",11.59364223,11.59364223,"[11.549592971801758,11.617056846618652]",0.688263297,0.688263297,"[0.6395372152328491,1.6889053583145142]",-99,-99,-99
1346612,-5.29084E+17,10,0.92274,0.00217,10.939,0.025,0.736,0.253,-10.252,0.28964,1.124,-999,10.939,0.025,FALSE,,,0.105667956,0.105667956,"[0.10566795617341995,0.3760526180267334]",0.178116649,0.178116649,"[0.17811664938926697,2.688370943069458]",2.364825487,2.364825487,"[2.229747772216797,2.364825487136841]",10.27476406,10.27476406,"[10.274764060974121,10.474998474121094]",0.653047979,0.653047979,"[0.6530479788780212,1.4602181911468506]",-99,-99,-99
