Euclid_ID,DES_ID,DDLR,HOST_DDLR,right_ascension,declination,HOST_RA,HOST_DEC,SN_RA,SN_DEC
-536562163295628158,1644290,0.3655095255022121,0.313,53.656216338549925,-29.56281588233773,53.656178,-29.562799,53.656052,-29.562813
-538481819295922082,1303496,0.4150876284335777,0.581,53.848181982137845,-29.59220828982477,53.848282,-29.592043,53.848209,-29.591787
-528602647283534634,1335717,1.2191133484159824,1.349,52.8602647255137,-28.35346345512068,52.860222,-28.353428,52.859905,-28.353096
-524534790285784467,1302123,1.3143424676311983,0.766,52.45347909518993,-28.5784467212359,52.45343,-28.578407,52.453339,-28.578219
-523886753283506676,1642178,1.0490997767706878,0.348,52.38867536428498,-28.350667635285863,52.388626,-28.350616,52.388535,-28.350605
-527204661282928642,1902212,1.453696327624599,1.613,52.72046610909776,-28.292864256190907,52.720451,-28.292814,52.719814,-28.292896
-526637373284794275,1332632,0.981587556192152,0.0,52.66373735872708,-28.4794275845336,52.663742,-28.479296,52.663742,-28.479296
-529420702282916098,1295509,0.5494373883963429,1.061,52.942070278213016,-28.291609818546608,52.941978,-28.291639,52.941841,-28.29143
-524905528285485684,1323740,2.1689620056158376,0.808,52.49055287049732,-28.54856849290616,52.490513,-28.548523,52.49036,-28.548483
-529398413283319690,1333489,0.874389286139059,0.614,52.93984133451831,-28.331969039680377,52.939812,-28.331917,52.939652,-28.331986
-527432539286295019,1912066,1.190693789648466,0.588,52.74325392585544,-28.62950198379241,52.743202,-28.629459,52.743038,-28.629389
-532446569272505877,1261163,0.704682416463787,0.619,53.244656923014304,-27.250587710676225,53.244629,-27.250557,53.244747,-27.250668
-529688627272483312,1309509,2.5754284980251207,1.341,52.96886271857204,-27.248331223123788,52.96883,-27.248276,52.968662,-27.248074
-529083854272278040,1339232,0.3408041351242151,0.783,52.908385490135046,-27.227804057987463,52.908352,-27.227753,52.908131,-27.227524
-528421171272244971,1347112,2.5441539600824177,2.597,52.84211716883076,-27.224497164547536,52.842068,-27.224436,52.841625,-27.223948
-533493896272293032,1260605,1.0608512153684295,1.371,53.34938960404235,-27.22930327905304,53.349369,-27.229282,53.349716,-27.229445
-533303505269037309,1319614,0.1114877885208187,0.21,53.33035056217612,-26.90373092258348,53.330334,-26.903692,53.330345,-26.903748
-533192110270180550,1260556,1.4892531990254223,1.362,53.3192110807829,-27.018055010049952,53.319195,-27.01804,53.319641,-27.018248
-533466135267590160,1340460,1.0463763092221905,0.812,53.34661356827873,-26.75901601689313,53.346596,-26.75898,53.346462,-26.758844
-531181603269798873,1341857,0.8290659422090949,0.666,53.11816032003154,-26.97988735962845,53.118153,-26.979881,53.118179,-26.979706
-547080419282403279,1699105,0.6795140033914021,1.059,54.70804193416188,-28.24032794555088,54.707993,-28.240286,54.708187,-28.239918
-545455046278051913,1332701,0.9520286981814357,0.429,54.545504616733936,-27.805191340574872,54.545448,-27.80512,54.545445,-27.805193
-547750015282368294,1310916,2.9499498492564853,2.895,54.77500151564416,-28.236829472821384,54.774956,-28.236753,54.773846,-28.236921
-546776448282241854,1254070,1.0798956897415644,0.732,54.6776448012396,-28.22418543111037,54.677597,-28.224133,54.677429,-28.224115
-549069851278131583,1303279,0.508367608762809,0.424,54.906985197626895,-27.81315833754152,54.906944,-27.813091,54.906788,-27.813025
-545352566277540442,1659122,1.0913622160428489,1.39,54.53525668574781,-27.754044281315142,54.535236,-27.753998,54.53492,-27.754091
-534479303294410460,1263930,2.191165522768948,0.379,53.4479303609227,-29.44104603891556,53.447895,-29.441017,53.448395,-29.441078
-546360019282198538,1315832,3.1762003643978343,1.418,54.6360019740577,-28.21985384334031,54.635948,-28.219814,54.635643,-28.21982
-545952968281565149,1302055,1.9681904886491275,1.717,54.59529688024611,-28.156514940616383,54.595238,-28.156473,54.594791,-28.156172
-543908872274734841,1312818,1.282011205392123,0.397,54.390887230359965,-27.47348417483653,54.390839,-27.473436,54.390797,-27.473509
-548979590289041487,1878288,0.5096672895486515,0.452,54.89795909473263,-28.904148746446488,54.897926,-28.904102,54.898056,-28.903999
-539137978275277599,1871023,0.4425905845237194,0.282,53.91379789337928,-27.52775999160229,53.913521,-27.527784,53.913403,-27.527689
-536006390276656770,1305873,1.092762119069017,0.992,53.600639006438215,-27.66567704128447,53.600513,-27.665676,53.60075,-27.665558
-548402773288792148,1335675,0.593864874275698,0.455,54.84027739059728,-28.87921489156887,54.84026,-28.879168,54.840099,-28.879179
-544673898291328929,1299758,2.567716676657918,1.662,54.46738986448485,-29.13289295166537,54.467381,-29.132839,54.467705,-29.132677
-545867336275568347,1252513,15.760910892946429,0.391,54.58673366824738,-27.55683477045687,54.586636,-27.557007,54.586571,-27.557074
-543831738287958540,1389210,1.697203142729847,1.649,54.38317389197554,-28.795854026548533,54.383144,-28.795811,54.382717,-28.796007
-523858104274725094,1409129,1.0928849235817069,1.135,52.38581043369344,-27.47250948564062,52.385773,-27.47246,52.385895,-27.472719
-535426708275890416,1342906,0.3108011455800504,0.115,53.54267081538432,-27.58904167182736,53.542633,-27.588991,53.542625,-27.589018
-535260247276321291,1316385,0.2299757532983626,0.068,53.52602472581173,-27.632129100121343,53.525982,-27.632095,53.525982,-27.632116
-532312152275806895,1431118,1.1492132061431388,0.61,53.23121522223647,-27.580689515484032,53.231205,-27.580669,53.23114,-27.580593
-533742657276868379,1411114,2.0391163581083656,0.647,53.37426572852363,-27.68683797924956,53.374218,-27.686781,53.37405,-27.686787
-547233086293518407,1256432,1.7822252584568368,1.379,54.72330862812205,-29.351840727893087,54.723301,-29.351784,54.723019,-29.35157
-534687798273351711,1319653,0.2858176781587007,0.271,53.46877987247993,-27.33517116749736,53.468742,-27.335154,53.468807,-27.335157
-531697869276602513,1311151,1.6801134237443704,0.552,53.1697869334889,-27.66025130322602,53.169743,-27.660198,53.16959,-27.660196
-534923268274002910,1280135,0.7701508025668798,0.68,53.49232686766347,-27.400291096576897,53.492321,-27.400358,53.49221,-27.400271
-550652655293278217,1318659,1.789311955758471,0.655,55.06526558026814,-29.3278217561332,55.06525,-29.327761,55.06517,-29.327721
-538015552288144542,1251114,0.8183154225282316,0.244,53.80155523670186,-28.81445421120265,53.801533,-28.814411,53.801479,-28.814411
-543354103286373062,1936171,1.1996177973375215,0.788,54.33541034795623,-28.637306210842457,54.335392,-28.637262,54.335171,-28.637129
-539377366271533032,1338762,5.345344442199286,2.771,53.93773664949313,-27.15330321338057,53.937702,-27.153252,53.937035,-27.153151
-541521089294055275,1310963,0.30776460572738,0.13,54.15210896715335,-29.405527581026448,54.152084,-29.405485,54.152069,-29.405451
-544785904284443251,1322819,1.1342156455255186,0.079,54.47859045836898,-28.444325183974165,54.478546,-28.444288,54.478329,-28.444315
-543695477293025335,1324544,1.3390511253294308,0.77,54.36954772115758,-29.30253354317496,54.369522,-29.302494,54.369358,-29.302443
